$ hermes skills list
exit=0

STDOUT:
                                Installed Skills                                
┏━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━┓
┃ Name                  ┃ Category             ┃ Source   ┃ Trust    ┃ Status  ┃
┡━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━━━━┩
│ yuanbao               │                      │ local    │ local    │ enabled │
│ apple-notes           │ apple                │ builtin  │ builtin  │ enabled │
│ apple-reminders       │ apple                │ builtin  │ builtin  │ enabled │
│ findmy                │ apple                │ builtin  │ builtin  │ enabled │
│ imessage              │ apple                │ builtin  │ builtin  │ enabled │
│ macos-computer-use    │ apple                │ local    │ local    │ enabled │
│ macos-diagnostics     │ apple                │ local    │ local    │ enabled │
│ agentctl              │ autonomous-ai-agents │ local    │ local    │ enabled │
│ claude-code           │ autonomous-ai-agents │ builtin  │ builtin  │ enabled │
│ codex                 │ autonomous-ai-agents │ builtin  │ builtin  │ enabled │
│ computer-use          │ autonomous-ai-agents │ builtin  │ builtin  │ enabled │
│ delegation-readiness… │ autonomous-ai-agents │ local    │ local    │ enabled │
│ hermes-agent          │ autonomous-ai-agents │ builtin  │ builtin  │ enabled │
│ kanban-codex-lane     │ autonomous-ai-agents │ local    │ local    │ enabled │
│ merge-reconciler      │ autonomous-ai-agents │ builtin  │ builtin  │ enabled │
│ opencode              │ autonomous-ai-agents │ builtin  │ builtin  │ enabled │
│ architecture-diagram  │ creative             │ builtin  │ builtin  │ enabled │
│ ascii-art             │ creative             │ builtin  │ builtin  │ enabled │
│ ascii-video           │ creative             │ builtin  │ builtin  │ enabled │
│ baoyu-article-illust… │ creative             │ official │ official │ enabled │
│ baoyu-comic           │ creative             │ official │ official │ enabled │
│ baoyu-infographic     │ creative             │ builtin  │ builtin  │ enabled │
│ claude-design         │ creative             │ builtin  │ builtin  │ enabled │
│ comfyui               │ creative             │ builtin  │ builtin  │ enabled │
│ design-md             │ creative             │ builtin  │ builtin  │ enabled │
